TM_TR,TM_MODEL,TM_KP,TM_NET,TM_ID,CONFERENCE,CONF_TYPE,WIN_25,LOSS_25,SEED_25,REG_SEED_25,REG_CODE_25,REGION_25,VEGAS_25,NET_25,BPI_25,BPI_Rk_25,TR_AdjEff_25,TR_ORk_25,TR_DRk_25,TR_AdjEff_25,TR_OEff_25,TR_DEff_25,WIN_24,LOSS_24,SEED_24,VEGAS_24,WIN_23,LOSS_23,SEED_23,KP_Rank,KP_AdjEM,KP_AdjO_Rk,KP_AdjO,KP_AdjD_Rk,KP_AdjD,KP_SOS_AdjEM,KP_NCSOS_AdjEM,BPI_Rank,BPI_24,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,NET_eFG%,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM
Furman,Furman,Furman,Furman,1202,SC,MM,25,9,,,,,,127,1.1,122,,76,145,,1.083,1.037,17,16, ,,27,7,13,137,2.33,109,109.6,158,107.3,191,65.9,,,74.2,3.1,25.1,56.4,1.083,1.037,4.2,53.7,112.9,35.9,53.5,69.4,10.4,29.1,8.7,22.9,34.9,27.9,70.8,50.1,3.2,6.2,16.1,11.4,1.411,0.688,0.846,68.5,15.2,71.1,-3.1,43.2,49.5,33.1,49.5,73.8,105.9,12.1,11,1.105,0.31,9.4,-2.0
Arkansas St,Arkansas St.,Arkansas St.,Arkansas St.,1117,SB,MM,18,14,,,,,,94,6.4,80,,68,258,,1.087,0.974,18,16, ,,13,20,0,91,7.93,102,110.1,77,102.2,89,69.8,,,78.7,8.2,27.1,63.9,1.087,0.974,3.5,49.6,106.5,32.2,50.6,72.8,9.2,28.5,11.7,25.9,40.4,32.5,72.2,51.7,4.4,7.3,13.9,10.4,1.339,0.686,0.462,72.4,18.4,70.5,-8.2,40.7,46.1,30.3,46.4,70.1,100.4,11.9,12,0.99,0.35,11.7,1.3
Maryland BC,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
McNeese,McNeese,McNeese,McNeese,1270,Slnd,MM,16,15,12,MW12,MW,MIDWEST,,58,8.3,66,,40,271,,1.109,0.958,,,,,,,,59,13.69,63,114.3,60,100.6,66,65.3,,,74.7,10.2,26.7,57.3,1.109,0.958,5.3,53,111.7,35.2,53.1,69.4,7.4,20.9,10.5,22.3,36,33.7,70.3,51.8,3.5,8.8,13.3,10.7,1.244,0.788,0.667,67.4,16.6,64.5,-10.2,40.1,47.7,32.4,46.9,71.8,102.7,12.1,14.3,0.845,0.40,12.3,1.6
Youngs St,Youngstown St.,Youngstown St.,Youngstown St.,1464,Horz,MM,14,18,,,,,,190,-1.6,156,,,,,,,22,10, ,,24,9,0,202,-3.28,203,102.1,121,105.4,144,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,1213,WAC,MM,26,8,13,W13,W,WEST,,92,6.2,83,,134,276,,1.045,0.942,29,4,12,,24,11,14,93,7.22,133,107.8,60,100.6,67,71.4,,,77.6,7.6,26.4,58.1,1.045,0.942,3.5,50.8,110.6,31.3,52.7,73.3,6.2,19.7,9.5,24.2,36.8,30.4,73.4,52.2,5.1,9,13.6,13.4,1.014,0.758,0.714,74.3,17.6,70,-7.6,41.8,47.3,32.3,46.7,72.2,102.3,11.8,14.8,0.799,0.22,14.1,0.7
Marquette,Marquette,Marquette,Marquette,1266,BE,P5,19,13,7,S7,S,SOUTH,,26,15.8,20,,67,253,,1.088,0.977,25,9,2,,28,6,2,28,21.58,32,117.7,26,96.1,28,67.6,,,76.6,7.8,27.7,62.4,1.088,0.977,2.1,52,109.2,32.6,54.7,72,9.4,29,9.2,21.7,34.1,28,71.6,48.7,3.6,9,13.7,9.4,1.469,0.677,0.667,70.4,16,68.7,-7.8,43.6,49.9,31.8,51.3,73.2,106.7,14.7,14.7,1,0.47,12.6,3.2
Wake Forest,Wake Forest,Wake Forest,Wake Forest,1448,ACC,P5,21,10,,,,,,69,8.7,61,,205,253,,1.008,0.977,20,13, ,,19,14,0,71,11.22,131,108.2,32,97,35,67.1,,,70.2,2.2,24.7,55.7,1.008,0.977,2.2,49.4,107.6,28.5,52.9,75.6,5.6,19.6,7.5,22.8,33.2,24.8,71.7,48.3,3.9,7.2,11.3,11.3,1,0.656,0.833,69.6,16.5,68,-2.2,40.2,47.2,30.7,48.2,77,103.2,13.2,13.3,0.991,0.01,11.1,-0.2
Utah,Utah,Utah,Utah,1428,B12,P5,15,17,,,,,,73,8.8,60,,115,195,,1.057,1.014,19,14, ,,17,15,0,76,10.61,80,112.4,72,101.8,82,68.7,,,75.3,3.1,26.4,59.3,1.057,1.014,3,51.7,108.1,32.6,53.9,63.9,8.5,26,10.8,25.1,39.8,33.1,73.3,53.6,3.7,6.4,17.5,12.5,1.399,0.5,0.5,71.2,18.5,72.2,-3.1,41.9,48.7,33.8,47.4,70.2,104.3,13,10.9,1.195,0.20,10.1,-2.4
Albany,Albany,Albany,UAlbany,1107,AE,MM,20,9,,,,,,263,-4.8,203,,148,103,,1.039,1.056,13,19,0,,0,0,0,270,-9.05,193,103.2,227,112.3,285,67.5,,,73.6,-1.2,26.7,61.4,1.039,1.056,-5.6,49.3,105.1,31.7,50.2,72.4,7,22.1,9.7,20.6,33.2,29.4,73.9,50,2.3,8.1,12.2,10.8,1.131,0.484,0.583,70.8,16.9,74.8,1.2,48.7,54.9,35.6,55.8,74.7,116.5,13.5,13.7,0.986,0.15,10.4,-0.4
Arkansas,Arkansas,Arkansas,Arkansas,1116,SEC,MM,20,12,10,W10,W,WEST,,40,11.7,42,,104,236,,1.061,0.987,16,17, ,,20,13,8,40,17.71,72,112.9,18,95.2,20,69.3,,,76.8,5.4,27.2,58.8,1.061,0.987,4.6,52.2,111.8,32.7,54.1,73.9,7,21.5,7.9,24.6,35.6,25.7,72,50.1,5.6,7.5,14.2,11.5,1.232,0.611,0.5,72.4,16.2,71.4,-5.4,41.5,47.6,31.4,47.9,73,102.3,12.3,12.2,1.005,0.23,13.1,1.6
Nebraska,Nebraska,Nebraska,Nebraska,1304,B10,P5,19,13,,,,,,59,10.0,53,,118,180,,1.055,1.020,23,10,8,,16,16,0,54,14.84,70,113.2,41,98.4,45,67.3,,,75.4,2.5,26.3,58,1.055,1.02,0.7,51.6,111.1,32.5,53.3,74.8,7.3,22.3,7.7,24.8,35.1,24.6,73.3,49.7,3,7.1,13.8,11.4,1.213,0.548,0.222,71.5,15.7,72.9,-2.5,43,50.9,34.1,50.6,70.5,107,13.9,12.4,1.123,0.09,10.1,-1.3
U Mass,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Belmont,Belmont,Belmont,Belmont,1125,MVC,MM,21,10,,,,,,129,-0.3,139,,61,78,,1.097,1.068,20,13, ,,21,11,0,129,3.38,81,112.3,181,108.9,223,70.5,,,78.9,2.1,28.5,61.5,1.097,1.068,1.1,54.8,114.1,38.1,52.9,71.3,10.5,27.5,8.4,23.2,34.4,25.6,72.4,48.8,3.1,7,17.1,11.3,1.522,0.656,0.769,71.9,15.6,76.8,-2.1,46.1,53.7,35.1,54.6,72.3,112.6,15.5,12.4,1.246,0.28,10.1,-1.2
Clemson,Clemson,Clemson,Clemson,1155,ACC,P5,20,11,5,MW5,MW,MIDWEST,,22,16.4,15,,31,263,,1.119,0.968,21,11,6,,23,10,0,18,23.92,23,118.7,15,94.7,16,64.2,,,76.1,10.3,27.4,59.2,1.119,0.968,4.6,53.4,113.3,36.9,52.2,76.8,8.5,23,9.7,22.7,35.4,32,71.4,52,3.5,7.4,14.2,10.5,1.352,0.794,0.375,68,15.2,65.8,-10.3,42.8,48.8,31.9,49.5,68.7,103.1,10.5,13.3,0.792,0.56,10.9,0.4
UAB,UAB,UAB,UAB,1412,Amer,MM,22,9,,,,,,106,4.9,92,,26,101,,1.125,1.058,23,11,12,50000,25,9,0,103,5.49,35,116.8,216,111.3,268,69,,,81.4,4.8,29.6,65.6,1.125,1.058,-1,50.2,108.1,34,49.8,75.9,6.5,19.2,12.7,23.6,39.9,36,72.2,53.3,4.2,6.5,15.8,9.7,1.626,0.639,0.546,72.4,15.6,76.6,-4.8,45.1,51.2,35,50.4,72.2,108.3,13.9,10.8,1.295,0.33,10.7,1.0
AR Lit Rock,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Queens,,,,,,,,,,,,,,104,,,,114,85,,1.058,1.065,,,,,,,,,,,,,,,,,,75.9,-0.5,26.5,58.7,1.058,1.065,0.7,52.8,111.2,35.1,52.9,68.9,9,25.6,9.6,23,36.1,29.9,72.7,50.9,5.2,6,15.8,12.7,1.243,0.546,0.8,71.7,16.8,76.3,0.5,45.7,52.1,34.9,52,70.5,109.8,12.7,11.2,1.141,0.10,11.2,-1.5
App State,Appalachian St.,Appalachian St.,App State,1111,SB,MM,20,13,,,,,,170,,,,218,248,,0.998,0.979,27,6, ,,16,16,0,170,-0.59,222,101.1,69,101.7,79,63.1,,,65.8,1.2,23,53.8,0.998,0.979,3.6,49.7,104.9,34,48.8,65.5,7.5,22.1,7.8,24.4,35.7,24.7,73,49.7,3.1,5.5,11.8,10.8,1.092,0.517,0.5,66,13.4,64.6,-1.2,40.1,46.1,29.8,47,74.4,98.3,11.6,9.4,1.23,-0.14,8.6,-2.2
UTSA,UTSA,UTSA,UTSA,,Amer,MM,7,24,,,,,,201,,,,151,59,,1.036,1.079,14,20,0,,0,0,0,191,-2.45,144,107.2,188,109.6,234,69.9,,,74.4,-3.1,25.4,60.8,1.036,1.079,-3.6,49.7,107.5,36.1,46.1,79.1,9.7,26.8,8.4,20,31.2,25.3,66.4,44.8,3.4,8.8,12.2,10.9,1.117,0.345,0.286,71.8,18.7,77.5,3.1,46.6,53.3,35.7,53.2,72.8,114.7,15.1,14.5,1.043,0.07,12.2,1.3
Troy,Troy,Troy,Troy,1407,SB,MM,17,15,14,MW14,MW,MIDWEST,,99,3.7,100,,132,266,,1.048,0.965,20,12, ,,20,13,0,98,6.88,134,107.7,64,100.8,71,66.3,,,72,5.7,24.5,57,1.048,0.965,2.3,49.8,107.5,30.1,53.6,72.4,7.7,25.7,11.8,22.3,37.7,37.1,70.7,53.3,4.4,9.2,13.7,13.3,1.033,0.656,0.375,68.7,16.3,66.3,-5.7,41.2,47.5,32.8,46.5,71.9,101.9,12.3,13.1,0.936,0.10,13.6,0.3
Mass Lowell,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Chattanooga,Chattanooga,Chattanooga,Chattanooga,1151,SC,MM,24,10,,,,,,115,1.3,116,,23,110,,1.130,1.053,21,12, ,,18,17,0,110,4.93,57,115.2,196,110.2,246,66.5,,,79.2,5.4,27.8,57.7,1.13,1.053,4.9,56.5,119.5,36.5,57.9,77.1,9.6,26.2,6.6,23.1,32.4,23.2,72.8,49.1,2.9,6.9,16.9,10.3,1.635,0.735,0.6,70.1,16.2,73.9,-5.4,44.4,51.6,35.3,50.7,69.8,109.2,12.8,11.2,1.139,0.50,9.8,-0.5
UC Irvine,UC Irvine,UC Irvine,UC Irvine,1414,BW,MM,27,5,,,,,,62,5.4,88,,126,281,,1.052,0.929,24,9, ,,23,11,0,66,12.37,138,107.5,16,95.1,18,68.7,,,75.8,8.8,26,57.5,1.052,0.929,5.5,51.5,112.7,35.4,50.7,80.7,7.2,20.4,7.9,27,38.2,25.8,75.1,52.7,3.5,6.5,15.7,12.7,1.236,0.833,0.8,72,15.5,66.9,-8.8,39.7,46,33.9,43.2,72.3,97.8,13.6,12.5,1.084,0.15,10.0,-2.7
Butler,Butler,Butler,Butler,1139,BE,P5,16,16,,,,,,83,8.4,62,,91,73,,1.070,1.070,18,14, ,,14,18,0,77,10.57,45,116.1,128,105.6,151,67.4,,,73.8,0,25.2,55.2,1.07,1.07,3.6,53,113.6,36.6,51.7,74.2,8.3,22.6,7,25,35,23.6,72.4,50.2,2.8,4.1,14,11.1,1.263,0.424,0.333,69,13.5,73.8,0,43.7,49.4,31.3,50.9,75.6,104.3,13.8,7.8,1.773,-0.51,6.9,-4.2
Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,1346,MAAC,MM,15,19,,,,,,191,-2.2,166,,185,232,,1.017,0.993,24,9, ,,20,12,0,213,-4.01,205,102,131,106.1,155,71.6,,,74,1.8,26.2,61.3,1.017,0.993,-1.1,48.4,105.1,29.8,50.7,76.6,6.9,23.3,10.7,25.3,38,31.8,75.4,53.7,4.7,8.2,13.8,12.8,1.071,0.594,0.7,72.7,16.5,72.2,-1.8,42.8,49.5,36.1,46.7,70.7,104.9,14.8,12.3,1.204,-0.13,12.9,0.1
Florida St,Florida St.,Florida St.,Florida St.,1199,ACC,P5,15,17,,,,,,90,6.4,80,,165,220,,1.029,1.002,17,16, ,,0,0,0,89,8.44,124,108.8,56,100.3,61,69.5,,,74.5,2,26.1,57.4,1.029,1.002,2.2,50.7,109.2,31.7,52.3,71.7,6.1,19.3,8.6,22.7,34.4,27.6,71.1,49.4,4.8,7.6,13,12.3,1.061,0.531,0.25,72.3,19.1,72.5,-2,41.8,48.5,32,48.9,73,105.6,12.3,13.4,0.919,0.14,12.4,0.1
Lg Beach St,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Texas,Texas,Texas,Texas,1400,SEC,MM,18,14,11,MW11,MW,MIDWEST,,39,13.3,33,,40,166,,1.109,1.026,20,12,7,,26,8,2,44,17.15,37,116.7,50,99.5,56,67.4,,,78.5,5.9,27.3,59.1,1.109,1.026,3.7,52.6,113.1,36.2,51.7,74.9,7.5,20.8,9.1,23.7,35.7,28.7,72.7,50.7,4.3,6.3,12.9,9.9,1.299,0.543,0.583,70.8,18.7,72.6,-5.9,42.7,48.9,33.8,47.8,69.9,105.5,12,11.4,1.058,0.24,10.6,0.7
E Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Ky.,1184,ASun,MM,18,14,,,,,,187,-3.6,184,,78,67,,1.082,1.074,18,13,0,,20,13,0,182,-1.73,109,109.6,218,111.4,270,67.6,,,76.5,0.6,27.1,64,1.082,1.074,-2.9,49.7,106.4,34.9,47.7,77.4,9.4,27,11,21.8,35.7,31,68.9,48.7,3.5,8.3,12.7,9.6,1.331,0.533,0.6,70.7,16.9,75.9,-0.6,45.9,52.6,35.5,52.1,71.1,110.9,13.5,12.3,1.098,0.23,11.8,2.2
Geo Wshgtn,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Oakland,Oakland,Oakland,Oakland,1324,Horz,MM,22,10,,,,,,193,-2.4,168,,140,82,,1.042,1.067,23,11,14,,13,19,0,177,-1.34,145,107.1,176,108.5,213,63.8,,,70.5,-1.7,25.2,57.6,1.042,1.067,-1.3,50.1,106.4,30.6,53.2,69.9,7.5,24.4,10.1,21.5,34.8,32.6,69,50.8,3,6.5,12.8,11.9,1.082,0.455,0.455,67.7,16.2,72.2,1.7,44.1,51.4,35.9,49.7,73.4,108.9,15.9,10.7,1.49,-0.41,9.5,-2.4
TX-Arlington,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
NC State,N.C. State,N.C. State,NC State,1301,ACC,P5,12,19,,,,,,132,5.7,87,,156,127,,1.033,1.045,22,14,11,,23,10,11,125,3.78,136,107.6,97,103.8,109,65.2,,,69.6,-0.8,24.6,58,1.033,1.045,-2.7,48.3,104.1,32.2,48.3,72.6,6.7,21,9.2,20.5,32,27.7,69.7,47.2,3.8,6.5,12.7,9.5,1.336,0.387,0.125,67.4,16.6,70.4,0.8,45.4,51,34.3,50.8,76.3,109.7,12.2,12.3,0.995,0.34,10.3,0.8
Stanford,Stanford,Stanford,Stanford,1390,ACC,P5,29,5,,,,,,81,6.3,82,,91,158,,1.070,1.030,14,18, ,,14,19,0,82,9.51,84,112.1,83,102.6,95,66,,,73.5,2.7,25.6,58.8,1.07,1.03,0.2,50.7,109.4,34.2,50.2,78.9,8.4,24.5,9.1,21.8,34.2,29.3,73.6,50.7,3.7,6.8,13.8,10.5,1.32,0.6,0.667,68.7,17.1,70.7,-2.7,44.8,50.5,33.4,50.7,74.2,108.9,10.1,11.7,0.865,0.46,10.5,0.0
LSU,LSU,LSU,LSU,1261,SEC,MM,14,18,,,,,,89,7.5,69,,178,188,,1.021,1.017,17,15, ,,14,19,0,88,8.65,122,109,56,100.3,62,67.9,,,73.8,0.3,26.2,58.9,1.021,1.017,2.8,51.1,108.7,30.5,55.2,71.6,7.8,25.6,8.7,23.8,35.7,26.9,68.8,48.5,4.7,7.1,12.8,13.1,0.976,0.438,0.667,72.4,16.8,73.6,-0.3,42.5,48.3,32.3,48.2,70.6,103,12.6,11.6,1.086,-0.11,11.8,-1.3
San Francisco,San Francisco,San Francisco,San Francisco,1362,WCC,MM,24,9,,,,,,64,7.5,69,,87,245,,1.073,0.981,23,10, ,,20,14,0,65,12.68,90,111.7,46,99,51,67.7,,,76.2,6.6,26.5,58.4,1.073,0.981,4.3,52.8,112,34.1,54.1,71.7,8.7,25.6,9,23.3,35.4,27.9,75.7,50.5,3.3,6.5,13.8,11.6,1.193,0.706,0.571,71,18.9,69.6,-6.6,43.6,48.5,27.9,52.2,70.9,104.7,11.7,12.4,0.948,0.25,9.8,-1.8
Ohio,Ohio,Ohio,Ohio,1325,MAC,MM,21,11,,,,,,179,0.3,133,,96,125,,1.069,1.046,20,13, ,,19,14,0,200,-3.11,163,106,184,109.1,228,70.3,,,79.1,1.7,27.7,59.7,1.069,1.046,1.1,53.4,114.2,35,53.9,76.5,8.4,23.9,6.4,22.3,32.8,20.6,73.2,47.7,2.9,7.2,13.7,10.8,1.269,0.484,0.4,74,17.7,77.3,-1.7,46.2,52.3,37.6,50.4,70.4,111.1,13,12.8,1.018,0.25,10.1,-0.7
Princeton,Princeton,Princeton,Princeton,1343,Ivy,MM,16,18,,,,,,166,1.2,119,,145,127,,1.040,1.045,24,4, ,,21,8,15,178,-1.38,172,105.3,143,106.7,172,66.4,,,72.1,-0.4,25.7,59.9,1.04,1.045,-1.9,51.5,107.7,35.3,50.1,70.7,10.3,29.1,7.8,22.1,33.1,24,77.4,49.4,2,6.9,14.5,10.4,1.397,0.607,0.786,69.3,15.6,72.4,0.4,46.2,53.4,35.5,53.5,75,113.5,13.1,11.8,1.112,0.29,8.9,-1.5
Lamar,Lamar,Lamar,Lamar University,1249,Slnd,MM,19,13,,,,,,169,-2.8,174,,237,245,,0.988,0.981,17,16,0,,0,0,0,166,-0.18,205,102,77,102.2,87,65.4,,,67.4,0.5,24.3,58.8,0.988,0.981,-0.4,47.2,100.9,35.6,44.3,69.9,6.9,19.3,10.9,22.7,37.9,33.4,70.7,51.7,5.1,6.9,13.8,12.5,1.098,0.567,0.727,68.3,15.5,67,-0.5,41.4,47.6,31.4,47.9,67.4,101.8,13,11.7,1.114,-0.02,12.0,-0.5
SMU,SMU,SMU,SMU,1374,ACC,P5,20,12,,,,,,46,11.5,43,,33,227,,1.118,0.997,20,12, ,,0,0,0,47,16.19,38,116.6,58,100.4,64,68.4,,,79.9,8.6,28.3,59.1,1.118,0.997,6.4,54.5,115.1,37.8,53.3,71.4,7.9,20.8,10.2,24.4,38.4,33.8,73.1,53.9,3.7,8.1,15.9,11.9,1.328,0.686,0.5,71.5,16.8,71.3,-8.6,41.3,48.1,33.1,47,74,104.2,15.2,12.4,1.221,0.11,11.8,-0.1
Santa Clara,Santa Clara,Santa Clara,Santa Clara,1365,WCC,MM,20,12,,,,,,57,8.4,62,,17,205,,1.134,1.010,20,13, ,,23,9,0,57,14.14,49,115.8,69,101.7,81,68.8,,,81.9,9,29.1,61.7,1.134,1.01,6.5,56,116.9,38.2,54.9,72.7,10.9,28.6,9.8,25,37.9,31.1,74.9,53.5,3,6.5,17.3,11.9,1.462,0.618,0.375,72.3,16.4,73,-9,43.3,49.5,31.3,51.2,72.3,105.9,15.1,11.8,1.277,0.19,9.5,-2.4
Nevada,Nevada,Nevada,Nevada,1305,MWC,MM,25,9,,,,,,79,7.2,74,,78,180,,1.082,1.020,26,7,10,,22,10,11,80,9.93,73,112.8,85,102.8,97,63.8,,,72.3,4.2,25.6,54.1,1.082,1.02,2.4,53.7,113.5,34.1,55.3,70.3,6.9,20.3,7.5,22,32.5,25.9,76.3,50.7,3.6,6.2,15.1,10.2,1.484,0.515,0.111,66.8,17.5,68.1,-4.2,43.4,51.3,35.7,49.5,72,110.1,14.2,12.2,1.156,0.33,9.8,-0.4
NC-Asheville,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Xavier,Xavier,Xavier,Xavier,1462,BE,P5,21,8,,,,,,45,12.5,38,,64,220,,1.093,1.002,16,17, ,,25,9,3,43,17.2,52,115.5,40,98.3,44,69.1,,,78.1,6.5,26.6,57,1.093,1.002,3.1,54.1,116.7,39.1,51.2,78.9,8.4,21.4,6,24,33.3,20.9,76.4,50.4,2.5,7.7,16.7,10.9,1.531,0.647,0.444,71.4,15.7,71.6,-6.5,44.6,51,34.4,50.6,72.8,108.2,14.4,12.3,1.17,0.36,10.2,-0.7
S Florida,South Florida,South Florida,South Fla.,1378,Amer,MM,16,15,,,,,,189,0.5,131,,194,138,,1.013,1.040,24,7, ,,14,18,0,195,-2.81,190,103.5,138,106.3,166,68.2,,,73.4,-2,25.8,58.9,1.013,1.04,0,49.7,106.8,31.6,51.1,71.8,7,22.2,8.4,22.7,34.5,25,70,47.3,3.5,8,13.9,11.4,1.224,0.387,0.444,72.4,17.5,75.4,2,43.5,49.7,33.3,49.6,73.3,107.6,14.3,12.9,1.108,0.12,11.5,0.1
Bryant,Bryant,Bryant,Bryant,1136,AE,MM,18,13,15,S15,S,SOUTH,,141,1.2,119,,111,230,,1.059,0.994,20,13, ,,17,13,0,149,1.25,152,106.7,125,105.5,148,72.5,,,79.8,4.9,29.2,65,1.059,0.994,2.9,50.7,107.4,33,51.3,71.6,7.5,22.6,11.6,25.7,40.4,32.8,74.3,52.2,6,6.6,14.2,12,1.19,0.636,0.364,75.4,16.1,74.9,-4.9,42,47.8,32.5,47.3,72,102.6,11.6,12,0.965,0.23,12.6,0.6
Miami,Miami FL,Miami FL,Miami (FL),1274,ACC,P5,13,18,,,,,,225,2.2,108,,102,4,,1.063,1.159,15,17, ,,25,7,5,192,-2.5,69,113.5,263,116,340,67.4,,,74,-6.6,27.4,59.6,1.063,1.159,-5.5,51.9,110.2,31.3,55.1,76.4,7.2,23,8.2,21,31.5,26.8,71.9,48.2,3.4,6.4,12.9,10.9,1.177,0.226,0.167,69.6,14.4,80.6,6.6,49.5,57.4,39.7,55.9,74.4,119.8,16.5,10.2,1.614,-0.44,9.8,-1.1
NC Wilmington,UNC Wilmington,UNC Wilmington,UNCW,1423,CAA,MM,15,17,14,W14,W,WEST,,102,3.5,101,,36,171,,1.115,1.024,21,10, ,,24,10,0,105,5.14,81,112.3,153,107.1,184,65.3,,,76.6,6.3,26.7,57.9,1.115,1.024,1.3,52.1,112.4,32.8,53.7,75.5,6.9,21.1,10.5,24.4,37.5,34.4,74.4,53.9,3.4,6.3,14.7,10.8,1.366,0.758,0.625,68.7,16.8,70.3,-6.3,43.4,50.8,34,50.7,67.9,106.9,12.3,11.5,1.068,0.30,9.7,-1.1
Ark Pine Bl,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,1338,ACC,P5,17,15,,,,,,61,10.8,48,,57,167,,1.098,1.025,22,11, ,,22,11,11,61,13.63,50,115.7,75,102.1,85,66.2,,,75.9,5,26.1,57.8,1.098,1.025,1.1,52.2,112.8,34.6,52.4,78.2,8.3,23.9,8.4,22.2,33.4,27.2,73.6,49.5,4.1,7.3,13.4,10,1.345,0.531,0.333,69.1,16.4,70.8,-5,43.9,51.1,34.7,50.4,72.6,109,13,12.3,1.053,0.29,11.4,1.4
N Florida,North Florida,North Florida,North Florida,1316,ASun,MM,15,17,,,,,,262,-6.8,226,,83,9,,1.077,1.140,12,21,0,,14,17,0,259,-7.9,112,109.5,270,117.4,350,72.2,,,80.9,-4.7,28.7,65.7,1.077,1.14,-0.9,53.2,110.3,35,54,67.9,12.4,35.4,9.1,22.4,34.8,25.5,66.9,46.2,3.2,6.2,15.4,11,1.4,0.433,0.5,75.1,18.1,85.7,4.7,48.6,54.1,35.5,54.5,72.5,113.9,17.3,10.8,1.602,-0.20,9.4,-1.6
Texas Tech,Texas Tech,Texas Tech,Texas Tech,1403,B12,P5,24,7,3,W3,W,WEST,,7,18.2,8,,7,241,,1.171,0.984,23,10,6,,16,16,0,7,28.05,5,125.3,34,97.2,37,65.4,,,80.9,12.9,28.6,61.2,1.171,0.984,6.9,54.9,116.1,36.7,54.8,76.5,10,27.3,10.1,23.5,37.1,32.3,73.4,53.3,3.1,6.3,16.5,9.7,1.702,0.778,0.615,69.1,15.6,68,-12.9,42.5,48,32.2,47.9,70.5,103.2,11.2,11.5,0.973,0.73,9.4,-0.3
St Josephs,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Iowa St,Iowa St.,Iowa St.,Iowa St.,1235,B12,P5,25,8,3,S3,S,SOUTH,,9,18.7,7,,33,273,,1.118,0.951,27,7,2,1800,19,13,6,10,27,20,119.4,9,92.4,9,68.6,,,80.3,12,28.1,58.1,1.118,0.951,6,54.9,117.2,35.8,55.5,75.3,7.7,21.4,8.9,23.8,35.4,30.7,74.4,53,3.4,9.3,15,12,1.248,0.714,0.4,71.9,16.2,68.3,-12,42,48.9,33.6,47.8,75,105.1,13.4,15.2,0.878,0.37,12.7,0.7
